"","IEM_1118","IEM_1119","IEM_1120","IEM_1121","IEM_1122","IEM_1123","IEM_1124","IEM_1125","IEM_1126","IEM_1127","IEM_1128","IEM_1129","IEM_1130","IEM_1131","IEM_1132","IEM_1133","IEM_1134","IEM_1135","IEM_1137","IEM_1138","IEM_1139","IEM_1140","IEM_1141","IEM_1142","IEM_1143","IEM_1144","IEM_1145","IEM_1146","IEM_1147","IEM_1148","IEM_1149","IEM_1150","IEM_1151","IEM_1152","IEM_1153","IEM_1154","IEM_1156","IEM_1157","IEM_1158","IEM_1159","IEM_1160","IEM_1161","IEM_1162","IEM_1163","IEM_1164","IEM_1165","IEM_1167","IEM_1168","IEM_1169","IEM_1170","IEM_1171","IEM_1172","IEM_1173","IEM_1174","IEM_1175","IEM_1177","IEM_1178","IEM_1179","IEM_1180","IEM_1181","IEM_1182","IEM_1183","IEM_1184","IEM_1185","IEM_1186","IEM_1187","IEM_1188","IEM_1189"
"hwesasllr","-0.675972545","0.999801192","-0.406445487","-0.675972545","2.136705222","1.147226156","0.470422217","0.44850751","1.379270739","-0.675972545","2.737451043","-0.675972545","1.117463337","-0.362231924","-0.675972545","2.241486627","-0.675972545","-0.675972545","-0.675972545","-0.675972545","-0.675972545","0.254581758","-0.675972545","1.45990491","-0.675972545","-0.675972545","-0.675972545","-0.675972545","-0.675972545","2.405566578","0.160899769","0.551164459","0.50124126","-0.675972545","-0.675972545","-0.675972545","-0.675972545","-0.675972545","-0.675972545","-0.675972545","-0.675972545","-0.675972545","0.995833235","-0.675972545","-0.675972545","-0.675972545","-0.675972545","0.216681","0.683359763","-0.675972545","-0.675972545","1.599102053","0.678343413","-0.675972545","-0.675972545","0.251587416","-0.675972545","-0.675972545","1.341851767","-0.675972545","-0.675972545","-0.675972545","-0.675972545","1.017248291","-0.675972545","-0.009994428","0.178240053","-0.675972545"
"1-palmitoyl-gpe (16:0)","-1.233977937","-0.90826876","-0.166026869","0.16934184","0.083066078","-0.205004494","-2.059573114","1.295843324","-0.036389504","0.479031042","2.81365219","-1.446055151","-0.808278617","0.094620544","-0.243870389","0.2785505","0.908374193","-0.635560323","0.644791256","0.310756459","0.804771159","-2.40918976","0.623750553","-0.163989052","0.311442823","-0.1070463","0.472559666","-0.179720356","-1.330087982","0.582148805","-0.649789135","1.167122171","0.892673764","-1.415693906","-2.116399969","0.189642946","0.932860309","0.718686541","1.795395198","-0.276528755","-0.07280286","-1.014795023","0.665567011","0.175144027","-2.317594018","-0.554466018","0.836371217","0.786800956","1.287099886","1.351358742","-0.433070532","-1.235004753","0.025763659","0.402810692","0.813526906","-0.070039966","-0.019281145","-0.023832799","-1.164767089","0.306844391","-1.463011818","-1.037892928","0.039675599","2.430891949","0.447517347","0.805348011","-0.086993709","-0.656377192"
"thymol sulfate","-0.678238892","0.722611252","-1.185705925","-0.84834343","-1.444321654","1.923552742","0.172572152","0.159339015","-1.444321654","1.610114219","0.27277645","-0.640719527","-1.251153424","-0.05949891","0.975749529","-0.348582243","-1.297096328","0.88981233","-0.105087544","1.572735275","-0.257576159","0.043887126","0.312872514","0.12659194","-0.510712265","-0.613931556","0.757355378","0.814591876","-1.444321654","0.698213479","1.378887863","-0.932427291","-0.512225142","-0.44863937","1.173319524","0.159339015","0.11243723","-0.898006737","0.874627682","-0.369370021","-0.871131183","-1.444321654","1.337959884","-0.055972735","-1.444321654","-0.728373893","0.194331235","2.430222429","-1.444321654","2.193099797","1.069593989","-0.162349943","-0.512545754","-0.022220953","0.05969938","-1.444321654","-1.10323985","0.452173248","-1.444321654","1.616761885","-0.051838908","-0.246681515","-0.058965486","-0.540127452","-0.085008656","1.773737969","-0.288328309","0.102257607"
"citrate","1.259845356","-0.705111729","-0.650724585","0.637418865","-0.372404348","0.195450373","2.189889038","-0.65560385","-0.980990226","-0.684548955","0.177809726","1.12275711","0.918117752","0.384343043","-0.141574911","-0.939718091","-1.816396357","0.634014316","-1.367543877","-1.293730588","-0.649703179","1.393890073","-1.099749876","-1.441001344","0.388823987","-0.836283181","0.901888073","0.358587546","-0.732336794","0.564078208","0.020034373","0.246893948","1.139735916","0.77481965","0.266007112","-0.153910046","-0.301319353","-0.164932279","-0.830506596","1.648618625","-0.561111301","-2.889489828","0.043023142","-2.898289787","-0.471296962","1.783317242","-0.243276018","-0.259658538","2.042896786","1.527083413","0.627940915","-1.308063959","-0.06559751","0.105898361","-0.495378087","-0.502868868","0.42767573","0.002061756","0.412439322","0.54484452","0.788558471","0.137913187","-0.358990261","-0.153910046","0.88079262","-0.518589626","0.203659399","0.014644356"
"glycochenodeoxycholate","-1.618444682","0.041093369","0.154755104","0.097723856","0.031803983","0.570670635","0.153291746","0.132124892","0.072480779","-0.284439925","1.282668262","-0.113359689","-0.542952373","-1.182943088","0.142990145","1.496994229","-1.285161707","1.046387017","-1.176648886","-0.152939716","1.946442191","-0.6714349","-1.105268338","0.288241087","-0.413605851","-2.729710298","0.711885102","1.437839068","-1.012853692","1.030706726","0.93903956","-0.446385125","-1.060755192","0.233342493","0.971870297","0.4458876","1.601455431","-0.505634652","1.737351513","-0.215434278","-0.045138729","-0.723907768","0.38837579","0.45593773","-2.066211413","0.708912582","-1.623033429","0.833199055","0.22935317","0.014132196","-2.375791053","-0.393789208","0.763541074","-2.319488467","0.22192299","-0.197304419","-0.092446506","0.989183553","-1.332426804","0.644937589","-0.987761654","0.134687313","1.197148291","0.352746442","0.04069646","1.521729647","1.05537386","0.193083454"
"x - 17146","1.97184829","1.276391626","-0.858800494","-0.858800494","-0.858800494","1.876159442","0.10014403","-0.858800494","0.026369372","0.010751887","-0.858800494","0.698402411","-0.858800494","-0.326158166","-0.658743513","-0.858800494","-0.858800494","1.610736804","-0.858800494","2.198627524","-0.858800494","-0.444643637","1.321044092","-0.858800494","1.060602737","1.669082171","-0.009841911","1.944540913","-0.858800494","-0.067233344","-0.417594713","-0.858800494","0.014461056","-0.858800494","1.525722297","2.419794904","0.98896906","-0.858800494","-0.858800494","1.106393313","-0.128796269","0.428676897","-0.858800494","-0.763295531","-0.858800494","0.264835342","-0.858800494","-0.044179064","1.991342183","-0.858800494","-0.858800494","-0.150876941","-0.713787114","0.700774239","-0.698178292","-0.858800494","-0.858800494","0.597579018","-0.551688293","0.254543156","0.646082291","1.130111805","0.032530326","-0.858800494","1.387429054","-0.858800494","-0.858800494","-0.858800494"
"trigonelline (n'-methylnicotinate)","0.464021621","-0.939948839","-0.939948839","-0.939948839","-0.939948839","0.849054882","0.810198928","1.726280392","-0.939948839","1.047777131","-0.939948839","0.547158644","-0.939948839","-0.939948839","1.689779874","-0.939948839","-0.939948839","0.898744402","1.403969284","1.205819979","-0.939948839","0.429301185","-0.939948839","-0.939948839","1.318746823","0.57019502","0.760289975","0.508611547","-0.939948839","1.052763109","-0.939948839","-0.939948839","1.364991917","-0.939948839","-0.939948839","-0.939948839","-0.939948839","-0.939948839","-0.939948839","-0.939948839","-0.939948839","-0.939948839","0.830581681","1.100637848","-0.939948839","1.500820775","0.99108285","0.628937262","0.43971331","-0.939948839","0.993738676","-0.939948839","1.257489074","-0.116508877","-0.939948839","-0.939948839","-0.939948839","-0.939948839","-0.939948839","-0.939948839","1.434493223","0.63087463","-0.939948839","1.025754617","0.839938449","-0.939948839","1.451116684","-0.103240656"
"histidine","-1.329944244","0.618876248","-1.287209521","1.116351307","-1.285128177","1.679459487","-0.440701578","1.729504623","1.145276375","-0.12136156","-0.531576679","-0.989163828","-0.424931898","0.425115759","-0.377902386","0.134289684","-0.073091863","-0.895554265","0.286379136","-0.073091863","0.697557777","-0.06734566","0.82366329","-0.305619682","0.462154872","-1.089716872","1.454666777","-0.762313106","-1.774703317","0.203991011","0.190653325","0.493983383","0.159394362","0.48973558","-0.292188215","2.052223694","0.811511628","-0.837323804","2.657854906","-0.889072332","-0.875250524","-2.478964086","-1.821788984","-0.084666105","-2.237713465","0.013301028","0.452311961","1.092178569","0.645467007","0.503378078","-1.647281329","-0.073091863","0.773701619","-0.134497941","0.820648936","-0.52023645","-0.062893506","-0.307352693","-0.0842424","0.817758991","-0.860650671","-0.399480838","-0.278015526","0.938371919","0.489757202","1.5078221","0.778543681","-1.383073276"
"glycerol","1.85562792","-0.964726433","0.036025701","-0.047666755","-1.943063127","-0.758940283","0.744964041","-1.62646926","-0.510362312","-1.795413068","-0.157671352","0.905967807","-0.047666755","0.157857471","-0.308891165","0.406095022","-0.925905773","-0.603939192","-0.404919348","-1.331422924","-0.857672702","0.915324973","-0.283630862","-1.605880672","-0.368843476","2.799511824","-0.305845336","0.017237037","1.256401373","1.04721342","-0.169755684","1.304267994","-1.508402517","-0.026731634","1.233355322","-0.180149334","1.252806405","1.590455632","0.045556955","-0.535181119","1.133694636","-1.218137731","0.611724537","-0.887309635","0.744529436","0.433437684","1.138664744","-1.138518266","-0.756246123","-0.767367403","-0.317216587","-0.940994725","-0.35203087","-1.64970132","-0.547837807","0.694954929","0.257761474","0.631868402","0.48041446","-0.290972409","1.491041003","0.871324821","1.504016325","-1.302002878","0.16331245","-1.460254883","1.226506486","0.964151252"
"allantoin","-0.529274325","0.252800085","0.938712956","0.120203579","-0.965914148","0.320494294","-1.193267508","0.102360343","-1.308570286","-0.359304389","0.615101756","-0.245221094","-1.132093503","-0.677277697","0.163190865","-0.500468538","-1.333804577","0.320132637","-1.111386751","-0.238230082","-1.309967676","-0.56678088","0.691832573","0.886240216","1.002315921","-1.840463794","-0.245758963","-0.760553412","0.540896347","0.921446624","1.259809114","1.049561501","0.330261112","0.120203579","-0.356881446","0.547845566","2.367974266","-1.840463794","2.216557314","0.015009558","-0.794268158","0.192973031","1.906867456","1.295199936","-1.840463794","1.810592163","-0.503598877","0.955973837","0.650147352","-0.561577194","0.252045102","-0.472672266","0.120203579","-0.248221864","0.215334349","-1.590249817","-0.303220869","-0.237880401","-1.234017201","1.360311214","-0.175042846","0.794228808","-0.410481495","0.079178232","-1.840463794","0.341406834","1.008647581","-0.805241193"
