"IEM_1006","IEM_1007","IEM_1008","IEM_1009"
"hwesasllr","1.581614294","1.428748953","-0.394485213","0.967340862"
"1-palmitoyl-gpe (16:0)","1.521131499","0.55828369","-0.717123017","-0.587370322"
"thymol sulfate","1.42527553","0.111443964","0.598311611","0.537181076"
"citrate","1.398479791","-0.774707113","-1.288767519","-0.406600816"
"glycochenodeoxycholate","1.367655663","0.59023417","-1.481302507","-0.23666473"
"x - 17146","1.356577518","-0.253126432","-0.858800494","-0.858800494"
"trigonelline (n'-methylnicotinate)","1.332655421","1.170642616","1.390182185","1.270105256"
"histidine","1.328695038","1.624709352","0.936677491","-0.0902187"
"glycerol","1.308029114","-0.084078009","0.2776783","1.121128635"
"allantoin","1.296397039","-0.665122627","-0.039130878","0.105019415"
"x - 17269","1.270486083","1.355047042","0.063498896","0.634887264"
"glycocholate","1.128128204","-0.364780986","-1.066030429","-0.132593648"
"x - 12847","1.04166218","0.243985862","-0.529177614","-1.033365126"
"x - 17654","1.017406834","0.829704876","1.796852133","1.605866102"
"1-eicosatrienoylglycerophosphoethanolamine","1.016397634","0.194195145","0.00563335","0.214381736"
"glycolithocholate sulfate","0.999712278","0.644697981","-0.122642839","0.133607869"
"phenylalanylglutamate","0.927856779","-0.120185503","-1.22391576","-1.22391576"
"glycylphenylalanine","0.924948257","0.50177089","0.683497762","-0.353530916"
"2-linoleoyl-gpe (18:2)","0.924561178","0.866647091","-0.46821077","-0.159755046"
"pipecolate","0.88895149","-1.066450124","1.59136948","1.20731865"
"1,5-anhydroglucitol (1,5-ag)","0.888899638","0.672108646","0.756954779","0.514323712"
"x - 17185","0.8437327","1.284245781","-0.498190683","-1.258940069"
"taurocholate","0.83506668","-0.214905173","-1.724292133","-1.077780665"
"pyrophosphate (ppi)","0.829048841","-0.607099789","0.207561138","0.785488399"
"theobromine","0.823479058","0.252789667","1.019534578","0.46923062"
"x - 18718","0.816950378","-0.171706005","-1.28338012","-1.694494865"
"x - 17137","0.81477849","-1.375650287","-1.375650287","0.439225448"
"1-linoleoyl-gpi (18:2)","0.803185077","-0.569120991","2.207829561","0.941072016"
"isoleucylvaline","0.800962929","1.194550981","0.941691355","-0.697143464"
"theophylline","0.750303938","0.652105165","1.383517738","1.455009027"
"campesterol","0.731896233","-1.244089896","1.278924075","0.904493821"
"paraxanthine","0.720076026","0.8835801","1.248676821","1.468294191"
"indolepropionate","0.672712987","0.798924877","0.345323092","0.42729282"
"taurochenodeoxycholate","0.67178237","0.159925595","-1.995760098","-0.9250449"
"1-palmitoylglycerophosphate","0.646001262","-0.72227576","-0.901779825","-1.017023167"
"2-arachidonoyl glycerol","0.579519009","0.199125616","0.013709653","0.693259331"
"x - 13429","0.563144738","0.147364099","-0.396227001","0.241513314"
"glycerate","0.546229966","-0.388982569","-0.062947723","-0.601226196"
"palmitoyl sphingomyelin","0.529096436","0.174211011","0.284229331","0.458749058"
"3-methylxanthine","0.506057646","-0.025796975","0.96291663","0.587185667"
"x - 12425","0.475463237","0.224956961","-1.978648443","-1.792585188"
"pregn steroid monosulfate","0.453345193","0.164617924","1.718697697","0.255916529"
"x - 13730","0.41973103","0.148223938","-0.300081851","0.166228016"
"x - 16935","0.414805838","1.190366275","1.730198235","1.38969623"
"stachydrine","0.394370504","1.280350523","0.637401389","1.326949282"
"pyroglutamylglutamine","0.347497254","-1.963230543","-0.105982908","0.059720964"
"3-phenylpropionate (hydrocinnamate)","0.346702268","1.059962728","0.813454652","-0.034649909"
"tryptophylglutamate","0.331385256","0.607659706","-1.453971242","-0.856030059"
"gamma-cehc","0.319933641","0.560896563","-0.412437574","-0.404033353"
"furaneol","0.309419456","-1.118541956","0.054511564","0.82249376"
"x - 11843","0.29934687","-0.977898179","-0.977898179","-0.977898179"
"arginylproline","0.285873901","0.753046816","-0.737122794","-1.768639739"
"bradykinin, des-arg(9)","0.280759619","0.038494028","0.437679181","-0.893612819"
"2-hydroxystearate","0.272143833","-1.164443243","2.094949583","0.639319309"
"leucylphenylalanine","0.260359515","0.698785044","0.434375071","-0.166041203"
"chiro-inositol","0.249424163","1.79577019","-0.818535691","-0.818535691"
"x - 15563","0.246060731","0.05781581","0.37935431","0.404144214"
"choline","0.243266116","-1.259787585","-1.739827326","-1.707069497"
"x - 18227","0.240261426","0.285336784","-0.344092155","0.003681369"
"xanthurenate","0.232663621","-0.953660022","-2.464955274","-2.464955274"
"x - 12860","0.219255891","0.190497835","-0.418610236","-0.121310947"
"taurolithocholate 3-sulfate","0.218704845","0.218704845","-1.321485804","-1.540470542"
"histidylphenylalanine","0.216390479","-0.123934836","-0.034971467","-0.358515847"
"x - 15559","0.207040075","0.013277921","0.488824872","0.637167491"
"x - 11478","0.204934432","1.276523857","0.7889076","0.796857791"
"pantothenate (vitamin b5)","0.191919637","-0.80199143","-1.218613642","-1.227385501"
"4-androsten-3beta,17beta-diol disulfate 1","0.180749332","0.047630568","1.145207444","0.93866147"
"threonylleucine","0.179753834","0.950060276","0.41476645","0.515440184"
"leucylaspartate","0.174318775","0.136258713","-0.560152569","0.051298937"
"x - 11440","0.169194885","-0.283971332","0.438815233","-0.064137545"
"leucylasparagine","0.152412899","0.775926992","0.389834292","-0.990709253"
"dehydroisoandrosterone sulfate (dhea-s)","0.144739112","0.291470091","1.279196607","0.912721339"
"x - 12101","0.142727579","1.024171384","0.066484051","0.504177289"
"asparagylleucine","0.111659809","0.294312988","-0.381409104","-0.65230827"
"delta-tocopherol","0.10536857","0.995370727","0.366332262","0.994317809"
"catechol sulfate","0.104128052","0.642086805","0.098953135","-0.049707518"
