"IEM_1016","IEM_1017","IEM_1018","IEM_1019","IEM_1020","IEM_1021","IEM_1022","IEM_1023","IEM_1024"
"hwesasllr","-0.675972545","1.005635031","-0.675972545","-0.675972545","0.289517586","-0.675972545","-0.675972545","-0.675972545","-0.675972545"
"1-palmitoyl-gpe (16:0)","-1.043124087","0.146972572","-0.797190215","1.202434353","1.563467532","1.224555932","-3.524467348","-3.037340828","0.725979047"
"thymol sulfate","-1.444321654","-1.444321654","-0.001467687","1.496890062","-0.485125517","2.669060133","-1.444321654","-0.46548508","-0.743889067"
"citrate","-0.153910046","-1.434731658","-0.761997231","-0.529681865","-1.430615524","-0.623997671","-1.422733441","-1.008848564","-0.351673608"
"glycochenodeoxycholate","-1.177264501","0.072480779","1.829309402","-0.826136712","-1.741674003","0.104031356","-2.207712005","0.416682298","-1.629054747"
"x - 17146","-0.858800494","0.721228038","0.609263918","-0.858800494","0.137233259","-0.858800494","-0.858800494","-0.858800494","-0.858800494"
"trigonelline (n'-methylnicotinate)","-0.939948839","0.572513223","-0.939948839","-0.939948839","-0.939948839","0.93376966","0.41515299","-0.273958947","-0.939948839"
"histidine","-3.690749596","-2.39661451","-1.413925084","-0.780096759","-0.536773727","-4.103115039","-3.911986282","-1.18183055","-0.818089461"
"glycerol","0.583176556","-0.478962522","0.613964987","0.650194776","0.027165766","-1.35715826","-1.360502792","0.232589179","-0.371122972"
"allantoin","-1.292507013","-0.196667645","0.416738498","-0.169308536","-0.115520642","1.184141948","1.260766064","0.120203579","-0.368755315"
"x - 17269","0.651652372","0.890825886","0.491631557","0.324466389","0.519020408","1.152345188","0.83113751","-0.210862665","0.73846302"
"glycocholate","-1.302754222","0.594008648","2.687945961","-1.015077654","-1.801693465","0.423683217","-2.321246219","1.318927055","-1.987826643"
"x - 12847","-1.033365126","0.599631475","-0.76474063","-1.033365126","0.0282745","0.695794062","-1.033365126","0.113654538","-1.033365126"
"x - 17654","-1.793492971","-0.589342303","-1.041019197","-1.023169865","-1.866920423","-0.432825722","-1.279454444","-1.457434581","-0.633898841"
"1-eicosatrienoylglycerophosphoethanolamine","0.036230793","0.897645192","0.223300221","0.675697193","1.151325007","0.487034005","-1.63209805","-1.762420404","1.689188818"
"glycolithocholate sulfate","-1.594500735","1.330199419","-1.594500735","0.768929213","-0.056209345","-0.036913888","0.286895049","-1.594500735","0.43232697"
"phenylalanylglutamate","-1.22391576","-1.22391576","0.085053117","-0.37155955","1.116167087","-1.22391576","-1.22391576","-0.106054145","-0.63231348"
"glycylphenylalanine","0.420515531","-1.197037172","0.85227698","0.162527053","1.532084061","-0.116232709","-0.49970532","-0.110367701","-1.28533607"
"2-linoleoyl-gpe (18:2)","-0.413130294","0.507818775","1.18155879","1.461907343","1.510075829","0.518186434","-2.328652467","-0.872460525","1.12762795"
"pipecolate","1.139062066","2.390714103","0.71781006","0.390054744","1.755267805","0.069018443","0.495867995","0.543251286","0.738677378"
"1,5-anhydroglucitol (1,5-ag)","-0.175942372","-4.350399728","-1.51452214","-4.359321018","0.353075348","-2.94032258","-5.715756692","-1.067214729","-3.56642807"
"x - 17185","-0.718743899","-0.398614735","0.240985732","-1.258940069","-0.552285855","0.409623879","-1.258940069","-1.258940069","-1.258940069"
"taurocholate","-0.53963615","0.399398163","2.683179461","-0.97998607","-1.004845998","-0.351720997","-0.949736311","2.060369755","-1.584221466"
"pyrophosphate (ppi)","0.493557956","0.422010006","1.561248139","0.60078098","0.795163285","0.505777282","0.094880318","0.87380535","1.119403622"
"theobromine","-1.444110042","1.333261764","-1.287352849","0.548715075","-0.907972054","0.472136253","-0.373702012","-1.220387579","0.265070464"
"x - 18718","-0.630254913","-1.145258728","-1.296040652","-0.927841079","0.963379838","-2.042849861","-2.042849861","-0.89854653","-2.042849861"
"x - 17137","-1.375650287","0.040946991","-1.375650287","0.26012109","0.359111598","0.716997798","-1.375650287","-1.375650287","-1.375650287"
"1-linoleoyl-gpi (18:2)","0.735711418","0.90597356","-0.804381418","0.140310152","0.783286362","2.164339567","-1.086696237","0.272912647","-0.618221876"
"isoleucylvaline","-0.643111787","-0.171306886","1.042668182","-0.096242742","1.757288793","-0.495384661","-0.419711346","-0.578874331","-0.494968736"
"theophylline","-1.125355498","0.15532974","-1.125355498","0.505040034","-1.125355498","0.990247427","0.266828726","-1.125355498","0.179078502"
"campesterol","0.663036542","-1.244089896","1.684630659","0.496149752","-1.244089896","0.600038591","-0.138955805","0.697644332","0.976143732"
"paraxanthine","-1.116987679","0.749057603","-1.116987679","0.102457226","-1.116987679","1.109552734","-0.000683724","-0.871034311","-0.168319074"
"indolepropionate","-1.896420702","0.254700396","-1.896420702","0.586003501","0.389343454","-0.344236675","1.405733516","-1.896420702","0.427983826"
"taurochenodeoxycholate","-0.960228541","-0.065183178","2.237284745","-0.762748107","-1.163221288","-0.825532705","-1.022511492","1.864644341","-1.513043848"
"1-palmitoylglycerophosphate","-1.976854071","-0.211505708","-0.761583986","0.696397177","-0.521834754","-0.059346788","0.412675196","-0.430524032","-1.015457257"
"2-arachidonoyl glycerol","-0.011376115","-3.855720972","0.19018575","-0.425772286","0.206566872","-0.906891453","-2.417783246","-2.374028727","-1.60074088"
"x - 13429","-1.232294328","1.449280103","-1.232294328","0.980865065","0.320928661","1.23601975","0.337478875","-1.232294328","0.22517332"
"glycerate","-0.297659212","0.148044597","-0.142529396","0.083857848","0.993987399","0.153910788","-1.036528736","-0.605926826","-0.023676962"
"palmitoyl sphingomyelin","0.288545224","-0.735390847","0.480018282","2.923422129","1.295280919","-0.034030761","-3.110172989","0.570736065","2.475035991"
"3-methylxanthine","-1.12472404","1.41105384","-1.12472404","1.035420508","-0.268576831","0.726480236","0.2689209","-1.12472404","0.302090207"
"x - 12425","-1.052118881","0.05481169","0.403461721","-0.506387813","0.937017661","-0.534038717","-0.737874989","-1.011443131","-1.162321563"
"pregn steroid monosulfate","-0.511678226","0.140493302","1.705771622","-0.762342321","0.137800012","0.141728361","-0.5298677","1.552318713","-0.921310947"
"x - 13730","-0.915071764","1.223869857","-0.915071764","-0.915071764","0.515209321","1.875320452","-0.915071764","-0.915071764","-0.915071764"
"x - 16935","-2.43117721","-2.43117721","-1.714075272","-2.43117721","-2.43117721","-0.494067713","-2.43117721","-1.66533248","-2.43117721"
"stachydrine","-3.343246953","0.00663525","-2.852366638","-0.955075646","0.307222086","0.036471292","-2.502494895","-1.786886767","0.639947019"
"pyroglutamylglutamine","-0.914023594","0.232802992","1.348087702","2.10898815","1.107244622","1.306517557","-0.598272174","1.239282225","0.709397606"
"3-phenylpropionate (hydrocinnamate)","-1.000890413","-1.000890413","-1.000890413","-0.46413017","-1.000890413","-1.000890413","-1.000890413","-1.000890413","-0.39043034"
"tryptophylglutamate","-2.018374966","-0.636459997","-1.517956972","-0.328082542","-0.035022274","-0.300725537","-0.062250644","-1.76069077","-2.844746553"
"gamma-cehc","1.018760774","1.761978121","1.436408057","1.252556967","0.716696833","0.202668257","-0.859055805","2.114884379","0.236163036"
"furaneol","-2.552481567","-0.736779059","-2.552481567","-2.552481567","-0.241617909","-0.052811586","-2.552481567","-2.552481567","0.251913087"
"x - 11843","-0.977898179","1.444924303","-0.977898179","-0.333667705","-0.977898179","-0.977898179","-0.977898179","-0.977898179","-0.977898179"
"arginylproline","-1.145597665","-1.768639739","0.149423964","-0.432285799","0.696684643","-1.48653322","-1.768639739","-0.764717495","-0.689879645"
"bradykinin, des-arg(9)","-0.893612819","-0.893612819","0.366080309","-0.893612819","-0.893612819","-0.893612819","-0.893612819","-0.893612819","-0.893612819"
"2-hydroxystearate","-0.239084462","-0.002114852","0.408848904","-1.643511656","-1.730130472","-0.25392538","-3.43252531","0.675443462","-0.285655856"
"leucylphenylalanine","-0.655364509","-0.286440987","-0.02257313","-0.000587796","1.405472286","-0.304180761","-1.678394304","-0.747867118","-0.063404739"
"chiro-inositol","-0.818535691","0.91048424","-0.818535691","-0.818535691","0.580215189","0.548832859","-0.818535691","-0.818535691","2.653606691"
"x - 15563","0.279966255","-1.642659313","0.375973434","0.654806844","-0.236266684","-0.857976217","0.021713001","-3.55295655","-0.14606792"
"choline","-0.865112906","-0.453369308","-0.620253278","-0.100329726","-0.043493948","-0.644888176","-2.229795657","-0.298276383","-0.482533459"
"x - 18227","-0.219999928","0.031472532","-1.002693265","0.933804188","0.430695203","-1.664805622","-0.334443208","-0.622777814","0.706759613"
"xanthurenate","-1.255868481","0.562391117","1.646193904","-1.148287334","-0.407596794","-0.482055448","0.025004777","1.561861052","-1.415624023"
"x - 12860","0.280336234","-0.689905404","0.910698889","-0.076483121","-0.001393571","-0.678257313","-0.729827085","0.309469049","0.101191298"
"taurolithocholate 3-sulfate","-1.881179885","1.460462282","2.311939475","0.564518108","0.606267859","-0.835374936","0.711909671","1.024384191","0.262887711"
"histidylphenylalanine","-1.284391349","-0.49421914","0.808896764","-0.215715913","0.70717559","0.113155658","-1.46081108","-0.350988557","-0.687216824"
"x - 15559","0.078548202","-1.644938006","0.500969244","0.711673772","-0.087546609","-0.875268897","-0.042342342","-3.061138939","-0.360446777"
"x - 11478","-0.129601627","-0.526490845","0.001376346","0.416780228","0.54451549","0.303324483","-0.685780059","0.643370605","0.019300347"
"pantothenate (vitamin b5)","1.181922005","2.280427637","1.814247166","0.231794233","0.833289435","-0.639007583","0.997772806","2.652552168","0.513564764"
"4-androsten-3beta,17beta-diol disulfate 1","-0.825551649","1.66808649","1.875961956","0.484128744","1.530058449","1.406223974","0.466637635","1.159028253","0.822829034"
"threonylleucine","-1.840795946","0.22557559","1.310938425","0.182999993","1.122885143","0.881060348","-1.840795946","0.441355893","0.40846384"
"leucylaspartate","-1.089745549","-0.736405582","0.546069754","-0.344637844","2.188420179","-0.106439785","-0.060843296","0.44582153","-0.018674908"
"x - 11440","-0.440497259","0.296916392","2.370704019","-0.119171662","0.21334082","0.153463406","-0.364611833","2.116302318","-0.708006021"
"leucylasparagine","-0.990709253","-0.990709253","0.587970597","-0.990709253","1.484119094","-0.119247884","-0.990709253","-0.045944905","0.475419048"
"dehydroisoandrosterone sulfate (dhea-s)","-1.34150351","0.861680737","0.045890068","0.47715514","0.804856419","0.921547969","-0.226339871","0.261578328","0.726349152"
"x - 12101","-0.489875737","-0.901604014","0.076953925","1.254876337","0.254722444","0.413399063","-0.679311672","0.149545349","0.195621654"
"asparagylleucine","-0.806402424","-0.146567462","0.973828688","-0.458872065","2.23357123","-0.259963604","-0.695845186","-0.132419413","-0.18530456"
"delta-tocopherol","1.475885719","-1.025226789","1.854817195","1.443089494","1.098943934","0.37606158","-1.025226789","1.005638712","1.309313113"
"catechol sulfate","-2.64191752","0.031069345","-0.911577432","-0.482703908","0.435289646","0.083065753","-0.951872537","-1.17920154","-0.137606609"
"x - 07765","-2.232436952","-0.313054902","-1.772660275","-0.804670828","0.672814187","-0.025111863","0.421798039","-1.686902408","-0.026377503"
"4-vinylphenol sulfate","0.232273292","0.262790389","-0.16667148","-1.039870547","-0.465175168","-1.179478954","-1.514917812","-0.514160733","-0.209962687"
"x - 11537","-1.27986885","0.16560114","-1.02323941","-0.79214458","-1.818967932","-0.364169089","-3.416894364","-3.416894364","-1.000925494"
"x - 01911","-1.063356731","0.501957053","-1.063356731","1.158622577","0.353900135","1.672943547","0.345591367","-1.063356731","0.32351157"
"x - 12734","-1.267636319","0.417644186","-1.081045687","-1.267636319","0.1450929","1.862646313","-0.480559726","-1.267636319","-0.761405588"
"x - 12729","-1.184459287","-0.161837848","1.066248868","-1.588080744","0.532321546","1.847428216","-1.234866904","0.273907752","-0.737651801"
"x - 15728","-1.177026876","-1.177026876","1.022862489","0.207287377","-1.177026876","-1.177026876","-1.177026876","0.152047946","-0.054057872"
"1-oleoylglycerophosphoglycerol","1.116272165","-0.464445082","0.522142151","-0.316626635","-0.656345649","-0.79116562","-2.047998363","0.172322275","-0.316626635"
"1-palmitoylglycerophosphoglycerol","1.097562103","-0.128989027","0.143635314","-0.81408161","-0.626758224","-0.589416148","-1.512156666","-0.121159117","-0.624282887"
"x - 17323","-1.766656217","-1.766656217","-1.766656217","0.570222104","-0.364753108","-1.388376391","-1.766656217","-1.766656217","0.290666815"
"x - 15168","-1.550387702","0.662250191","1.67691598","0.590565279","1.577037415","0.780858068","-1.753571612","1.003776949","1.583750142"
"1-oleoylglycerol (18:1)","0.391285771","-2.341349297","-0.980279941","0.489261099","0.512390594","-0.343116375","-0.124398512","-0.879180349","0.605879697"
"3-indoxyl sulfate","-0.45198687","0.502539075","-0.732503378","0.445086385","-1.064032291","-0.503510157","-1.350874099","-0.735137855","-0.104062315"
"sucrose","-1.172058863","2.118131414","-1.172058863","-1.172058863","1.304471442","-0.487000517","-1.172058863","-1.172058863","-0.439395751"
"x - 12680","-0.599276799","0.582465753","-1.537158759","-0.094687013","-0.104646239","-0.091222528","-1.849588514","-0.129783334","0.03305053"
"1-linoleoylglycerol (18:2)","-0.119280009","-0.489050131","-1.542582273","0.043337425","0.846514448","-0.938399065","-1.164953402","-0.885321595","-0.484213003"
"1-oleoyl-gpc (18:1)","0.269829352","0.503031265","-0.539379134","0.511898044","0.139862448","0.589926735","-1.9122382","-0.363681869","0.139862448"
"x - 18140","0.215107224","-0.086510548","-2.176693984","-0.11253982","0.161393013","-0.945501284","-0.02315624","-0.017041258","0.04434682"
"serotonin (5ht)","-0.752103326","-0.027085486","0.048595278","-1.619101349","-0.569658457","0.046930034","-1.619101349","-0.893266226","0.046930034"
"x - 11247","-2.153434861","-1.250187281","-1.298037807","-0.151456932","-0.64752837","0.424023716","-2.153434861","-0.262388451","0.03643773"
"x - 14291","-1.60793954","-0.276673375","-1.403494168","0.819294185","-1.084240773","-1.177122501","-2.981181669","-1.043372558","0.248083944"
"x - 12212","-1.252432893","-1.252432893","-1.252432893","-1.252432893","-0.421755278","-0.598565251","0.150663007","-1.252432893","-0.012616082"
"2-hydroxydecanoate","-0.434424287","-1.451152005","-0.3404302","-0.123466397","-1.146888345","-0.534599629","-0.543914182","-2.053638111","-0.25363159"
"xanthine","-1.611879271","-2.315728503","-0.542979332","-3.43705453","-2.02180252","-2.712674131","-1.307563118","-1.211293434","-2.349330544"
"androsterone sulfate","-1.528427385","0.666314147","-1.528427385","1.026067832","1.65026795","1.201845419","0.080972249","-1.156406599","1.4759452"
"1-nonadecanoylglycerophosphocholine(19:0)","0.031014344","0.746560418","-0.067836931","-0.216590948","-0.756960914","0.3153591","-1.847445002","-0.259690741","0.680607272"
"2-stearoylglycerophosphoethanolamine","0.54736896","1.09262507","-1.278941898","-1.278941898","-0.018441827","0.852749504","-1.278941898","-0.564432919","-0.069094831"
"x - 12056","-1.39327214","-1.39327214","-0.768515868","-0.310152861","1.558369582","0.081977349","-1.39327214","0.759636843","-1.39327214"
"phenylalanylalanine","-1.661768314","0.346081397","0.685768691","0.568704771","1.934598227","-0.213978383","-1.661768314","0.316157048","1.276713931"
"n-oleoyltaurine","0.795025139","-0.928193081","0.247932905","-0.111042066","-0.609210692","-1.518356994","0.150200757","-0.669044611","0.168425034"
"cyclo(l-phe-l-pro)","-0.037470274","-1.25963402","-0.572380531","-0.43131058","-2.086039215","-0.77985716","-1.835444567","-0.021071685","-0.60046779"
"x - 11437","-0.136460397","0.258448478","-1.441308519","-2.285678869","-2.285678869","0.102246228","0.411990547","-0.377772924","-1.633030096"
"cis-aconitate","-0.035232957","-1.343182797","-1.153614755","-0.812536836","-1.457928983","-1.082640706","-0.444425132","-1.248924786","-0.625574067"
"cysteine-glutathione disulfide","1.929847367","1.01538088","0.666283529","0.222380436","0.283240484","-0.74921472","0.887305772","1.867145415","1.309432512"
"x - 18965","1.045471567","0.726686435","2.449467062","-0.622242534","0.665588717","-0.622242534","-0.622242534","2.278653318","-0.622242534"
"x - 13007","2.934546683","-0.627125924","-0.627125924","-0.627125924","-0.627125924","2.085142903","-0.627125924","-0.627125924","-0.627125924"
"x - 16653","-2.553433064","-1.164460238","0.037337534","-0.677815918","1.707577468","-0.882219318","-3.418113369","-0.223733658","-0.69372054"
"x - 17357","-0.655069082","0.267677378","0.636252363","0.070988987","-1.513479632","-0.019785509","-2.021571061","0.767278446","-0.520418124"
"x - 14626","-1.132122219","1.205832069","-1.132122219","1.220015923","0.938977551","0.705107032","1.06951015","-1.132122219","0.955048677"
"cortisol","0.144882469","-0.515960216","-0.550800428","-0.812266844","-1.578130593","-0.382832787","-1.328301262","1.359835268","-1.112269532"
"x - 09789","-2.483190624","0.362466259","0.39838931","0.239732641","-0.359719103","-0.693264588","-1.056922947","0.021712586","-0.672290424"
"palmitic amide","-0.28112577","-0.941571402","-0.711421279","-0.852824608","-0.807465182","-0.592348129","1.427004402","-0.949620774","1.200160918"
"n-palmitoyltaurine","1.303913981","-1.359917471","0.112743827","-0.358650497","-0.947576189","-1.359917471","-1.044721124","-0.122388467","-1.359917471"
"x - 18371","-0.774068639","0.444362247","-0.774068639","-0.586798161","-0.774068639","-0.774068639","-0.774068639","-0.502264495","-0.774068639"
"palmitoleate (16:1n7)","0.135137889","-1.016254606","-2.409170038","-0.663801512","-1.340267289","-1.791836773","-0.925537439","-1.944074575","0.190497051"
"cinnamoylglycine","-0.788838755","-0.788838755","-0.788838755","-0.788838755","-0.788838755","-0.788838755","-0.788838755","-0.788838755","-0.788838755"
"x - 12231","-0.824020082","0.105354758","-0.824020082","0.355152851","0.350478581","1.684032235","0.224586135","-0.824020082","-0.824020082"
"2-eicosatrienoyl-gpc (20:3)","0.46157579","0.666718267","-0.089083533","0.09125019","0.407479089","-0.602114258","-1.623223569","0.646979332","0.417870496"
"gamma-glutamylalanine","-2.14573328","-0.292380557","-0.428366664","-0.289719591","-0.280181692","-0.394163322","-1.452571151","0.189502192","-0.985796772"
"lysine","-2.901439062","0.501472249","0.557027046","-1.093360424","-0.146811185","-1.778172855","-4.182051459","-0.049284286","-1.453944608"
