BIOCHEMICAL	PATHWAY_SORTORDER	# times identifed in all 200 samples	SUPER_PATHWAY	SUB_PATHWAY	COMP_ID	PLATFORM	RI	MASS	CAS	PUBCHEM	KEGG	"Mean (patients with ""No biochemical genetic diagnosis"")"	"standard deviation (patients with ""No biochemical genetic diagnosis"")"	"minimum value (patients with ""No biochemical genetic diagnosis"")"	"maximum value (patients with ""No biochemical genetic diagnosis"")"	    Group HMDB
benzoate	2361	200	Xenobiotics	Benzoate Metabolism	15778	GC/MS	1291.5	179	65-85-0	243	C00180	0.016162533	0.176187512	-1.6643343	2.773344596	HMDB01870
phenylcarnitine*	3107	183	Xenobiotics	Chemical	43265	LC/MS (+)	2595	266.13869	105450-08-6			-0.212007135	1.302442828	-2.347932423	2.86742357	
homoarginine	307	200	Amino Acid	Urea cycle; Arginine and Proline Metabolism	22137	LC/MS (+)	656	189.13461	156-86-5	9085	C01924	0.098376775	0.616259076	-2.548736241	2.629287685	HMDB00670
N-acetylarginine	313	200	Amino Acid	Urea cycle; Arginine and Proline Metabolism	33953	LC/MS (+)	1087	217.12952	155-84-0	67427	C02562	-0.164196285	0.738097302	-1.904738718	3.901264338	HMDB04620
X - 12339		200			33764	LC/MS (+)	1055	174.08732				-0.138109901	1.033943605	-2.13496418	2.44638803	
X - 12681		197			34290	LC/MS (+)	931	176.10296				-0.110522113	0.978759477	-2.507611569	2.207676383	
orotate	2189	47	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	1505	LC/MS (-)	768	155.00983	50887-69-9	967	C00295	-1.354078227	0.668871699	-0.445624565	3.570488697	HMDB00226
4-guanidinobutanoate	350	200	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS (+)	1085	146.09241	463-003;463-00-3	500	C01035	-0.178829436	0.862529934	-2.029623322	2.690863576	HMDB03464
hippurate	2349	200	Xenobiotics	Benzoate Metabolism	15753	LC/MS (-)	2136	178.05096	495-69-2	464	C01586	-0.03062356	1.646478408	-2.594724428	2.511182729	HMDB00714
X - 19330		198			42806	LC/MS (+)	2773	202.04739				0.016503788	1.750792198	-2.42616681	2.677490986	
