MolPheno1	MolPheno2	MolPheno3	MolPheno4	MolPheno5	MolPheno6	MolPheno7	MolPheno8	MolPheno9	MolPheno10	MolPheno11	MolPheno12	MolPheno13	MolPheno14	MolPheno15	MolPheno16	MolPheno17	MolPheno18	MolPheno19	MolPheno20	MolPheno21	MolPheno22	MolPheno23	MolPheno24	MolPheno25	MolPheno26	MolPheno27	MolPheno28	MolPheno29	MolPheno30	MolPheno31	MolPheno32	MolPheno33	MolPheno34	MolPheno35	MolPheno36	MolPheno37	MolPheno38	MolPheno39	MolPheno40	MolPheno41	MolPheno42	MolPheno43	MolPheno44	MolPheno45	MolPheno46	MolPheno47	MolPheno48	MolPheno49	MolPheno50	MolPheno51	MolPheno52	MolPheno53	MolPheno54	MolPheno55	MolPheno56	MolPheno57	MolPheno58	MolPheno59	MolPheno60	MolPheno61	MolPheno62	MolPheno63	MolPheno64	MolPheno65	MolPheno66	MolPheno67	MolPheno68	MolPheno69	MolPheno70	MolPheno71	MolPheno72	MolPheno73	MolPheno74	MolPheno75	MolPheno76	MolPheno77	MolPheno78	MolPheno79	MolPheno80	MolPheno81	MolPheno82	MolPheno83	MolPheno84	MolPheno85	MolPheno86	MolPheno87	MolPheno88	MolPheno89	MolPheno90	MolPheno91	MolPheno92	MolPheno93	MolPheno94	MolPheno95	MolPheno96	MolPheno97	MolPheno98	MolPheno99	MolPheno100
Patient1	212198	134645	8898	4411	4261	4244	3405	3045	2910.83333333333	2734	2669	2399.5	2206	2107.66666666667	1957	1848.33333333333	1844.33333333333	1739.33333333333	1492.66666666667	1462	1415	1386	1380	1232	1219	985.5	960.5	904.666666666667	871	826	784	762	753	747	725	666.5	594	586	585.5	585	578.5	544.833333333333	530	480	474	458	445	379	371	369.5	369	357	313	283	281	271	222	211	186	182	178	177	159	159	153	147	145	141	132	129	128	123	121	118	103	102	99	99	97	96	95	94	88	87.5	87	87	84	84	83	81	81	78	74	72	71	68	67	67	65	62
Patient2	959	98005	18	1538	281	82	55	1602.41666666667	1442.91666666667	2157	412	3165.5	146	429.25	181	934.916666666667	2697	967	331.083333333333	1012	584	1731	2926.5	2706	81	1382	2692.5	316.75	111	1240	159	467	259	83	1190	4553	614	50	163	1102.5	155	645	38	29	443.5	1806	1614	388623	9	1	434	938	475	7	1510	153	136	236	168	1899.5	71	24	95	115	9	16	2	111	34	29	80	193	60	26	70	60.5	236	60.5	475	5	59	1	3	1.25	302	103	50	2	48.5	29	42.5	126	7	66	1	3	2	76	2	618
Patient3	18302	57359	120	2310.5	10182.5	901	374	2559	2455	1289	246	235	905	5475.88333333333	426.5	1686	71	120	4676.71666666667	556	299	106.5	146	2314	52	192	333	4081.05	257.5	180	297	1157	218	280	346	397.5	154	83	53.5	22	52.5	48	22	145	10	113	25	2890	88	101.5	186	157	111.5	36	43	126	6	53	152	44	45	37	49	11	22	26	21	5	75	91	59	36	4	57	37	14.5	11	14.5	120	11	15	46	29	23	28	3	20	0	23	34	28	103	13	47	18	2	1	41	6	125
Patient4	1698	60112	11	8643.5	409	640	390	1304.08333333333	1131.08333333333	2741	922	6607.5	732	1142.41666666667	897	801.583333333333	8570.16666666667	2669.16666666667	889.75	8649	2179	5091	3446.5	3517	239	7529	2743.5	828.75	266	11259.5	3293	530	479	170	2767	31313	300	1099	418	2863	408	1192.16666666667	64	52	1587	3870	732	587159	57	7	448	1046	3620	274	330	414	460	256	647.5	3377.5	87	50	317	1333.5	4	132	4	657.5	25	53	62	4100	268.5	19	66	174	559	174	290	20	621.5	65	23	21.75	102	485	186	1	43	5	45	62	22.5	405	13	2.5	1.5	327	1	839
Patient5	586	31460	14	6117	189	396	90	722.833333333333	634.333333333333	10783	481	7604.5	956	276.583333333333	256	413.333333333333	5764.16666666667	3148	192.083333333333	2639	1348	4117.5	2006.5	8605	20	3973.5	1362	172.083333333333	223	11697.5	1563	290	473	90	3505	14642	316	408	348.5	2987	333.5	947.166666666667	53	136	1776	7362	654	478987.5	29	1	645	425	1864.5	3	1317	461	862	285	364	2637.83333333333	85	105	136	463.5	2	61	7	164.333333333333	30	40	52	1471	268.5	19	57	251	671	249	183	40	575	7	5	5.5	75	129	229	1	37.5	66	35.5	92	8	83	7	1.5	1.5	196.5	0	149
Patient6	1028325	147151	338	10678	4052	6773	14459	4322	4126.5	5337	8372.5	8712.5	3601	8846.28333333333	2036	3018.5	581	578.5	7956.61666666666	5035	1894	3910	3748.5	14109	283	2025.5	2166.5	7437.36666666666	1109	2491	2354	2265	10109.5	1813	1387	1832.5	2936	8717	7777	920	7756	370	1297	464.5	286	1853	110	598	426	203	1332	301	2005	1207	196	2434	331	1878	533	81	1049	95	34	256	21	625	84	40	415	180	673	839	206.5	402	347	169.5	64	171.5	67	2652.5	1555.5	1034	302	13.25	752	3	202	0	84	200	87	139	637.5	206	431	1128	1097	412	44	111
Patient7	472	9118	47	5407.5	173	159	26	263.583333333333	215.583333333333	10239	452	4102	171	62.1666666666667	197	146.583333333333	2714.5	1781.16666666667	41.1666666666667	334	1449	2699.5	1185	3258	14	4281.5	779.5	33.6666666666667	61	7347	629	85	289	29	2699	6957.5	201	234.5	185	1165	169	486	7	49	954	3537	644	657917	0	0	446	248	737	1	1211	130	524	123	382.5	1683.16666666667	57	87	3	180	0	34	9	50.6666666666667	33	7	24	789	138	4	25	267.5	1053	266.5	137	15	221	14	0	1.25	71	48	144	0	21.5	36	20.5	12	15	52	1	2	2	50.5	1	72
Patient8	1081058.5	615788	23023	45484	92958.3333333333	21652.5	40635	33553.0833333333	32394.9166666667	94750	25506.5	31969	15535.5	25875.7166666667	24454.5	24252.4166666667	16655.8333333333	14673	23528.8833333333	15701	27111	18453.3333333333	22994.5	33037	930	24104	8594.33333333333	22629.8	21898	28441	41051	12869	20821.5	5445	13181	5883.5	13666	69175	17566.5	1423.5	17419.5	4219.33333333333	2963	1230.33333333333	655.5	4380	207	1802.5	4728	238.3	11412	4642	9775.5	10337	515	16416	842	1678	1838	591.166666666667	2360	204	343	6509	63	5040	35	1870.33333333333	2064	1619	957	9644	1533.5	372	1146	1611.16666666667	112	1609.16666666667	182	3241	6997	5124	1356	44.5	2027	11	1039	4	540.333333333333	486	525.333333333333	1238	2613	983	683	672.5	624.5	3649.33333333333	120	1145
Patient9	3141	66475	14	46070	4233.66666666667	3266.5	942	3985.73333333333	3713.9	7869	406	20282	2834	1194.5	6635	2921.4	12676.5	10130.6666666667	962.166666666667	49657	4074	46306	5596	44557	255	4451.5	10530.1666666667	741.833333333333	2704	19896.5	4942	1272	1538	654	7247	20321	1030	1223.5	1107.5	24141.8333333333	1084.5	3382.66666666667	237	73.5	6072.33333333333	14319.3333333333	536	425650	84	119	848	3723	1927.5	65	259	1166	4016	1260	4632	5626.16666666667	617	75	3566	1741.5	6	120	3	544.166666666667	72	152	109	9426	563	10	87	1339	303	1345	288	307	2218	90	14	21.65	411	9266	899	1	106	67	97	49	107	339	14	15	10	2378	34	1240
Patient10	313491.666666667	168353	50351	34268	12348.5	241492.5	10823	2581.25	2264.25	10118	25795	44107	86589.5	3304.33333333333	23835	1498.75	4320.66666666667	2569.83333333333	3024.83333333333	36157	7265	54152.3333333333	3315.5	14170	237	14019	1660.66666666667	2764.25	5123.5	6143	11730	1940	8289.5	3041	4704	16291.5	2084	12620	2125	5622	2105	854.166666666667	2204	627.333333333333	1668	3574	152	494	493	306.5	2411	283	3295.5	5214	213	1496	1367	990	1772	200.166666666667	610	257	147	611	64	587	136	78.3333333333333	438	178	928	3183	194.5	83	327	455.833333333333	225.5	448.833333333333	2127	1022	1105	1123	929	9.75	185	2	260	20	173.833333333333	187	165.833333333333	71	397	303	463	96	86	1258.83333333333	110	98
